,Organization_size,IT_dpt_size,Estimated_Duration,Development_cost,maintainance_cost,Additional_cost,Manager_experience,Development_team_experience,Team_size,Level_of_outsourcing,Software_accuracy,Increase_in_productivity,Software_availability,Software_stability,Degree_of_software_reuse,Organization_Company_1,Organization_Company_2,Organization_Company_3,Organization_Company_4,Organization_Company_5,Organization_Company_6,Organization_Company_7,Customer_type_1,Customer_type_2,Customer_type_3,Customer_type_4,Customer_type_5,Customer_type_6,Customer_type_7,Project_type_Hybrid model,Project_type_Keyword recognition-based,Project_type_Linguistic Based,Project_type_Machine Learning chatbot,Project_type_Voice Bots,Project_type_button-based,Development_type_Agile,Development_type_Extreme Programming,Development_type_Feature-Driven,Development_type_Lean,Development_type_Scrum,Development_type_Waterfall,Cloud_platform_type_AWS,Cloud_platform_type_Azure,Cloud_platform_type_GCP,Cloud_platform_type_IBM,Cloud_platform_type_Oracle,Cloud_platform_type_Salesforce,Computing_Tier_T1,Computing_Tier_T2,Computing_Tier_T3,Computing_Tier_T4,Computing_Tier_T5,Programming_language_used_ASP.Net,Programming_language_used_Java,Programming_language_used_Python,Programming_language_used_R,DB_used_MongoDB,DB_used_MySQL,DB_used_Oracle,DB_used_PLSQL,Open_source_tool_used_T1,Open_source_tool_used_T2,Open_source_tool_used_T3,Open_source_tool_used_T4,Open_source_tool_used_T5
0,0.6000000000000001,0.17391304347826098,0.6227179135209333,0.5999999999999996,0.4229519957694444,0.535143769968051,0.5,0.23076923076923078,0.2222222222222222,0.05357142857142855,0.7985702938840347,0.49,1.0,0.19999999999999973,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,0.8,0.6956521739130435,0.20315717227179136,0.7999999999999989,0.790433422373869,0.4105431309904153,0.75,0.5384615384615385,0.38383838383838387,0.7499999999999999,0.9985702938840348,0.93,0.0,1.0,0.33333333333333326,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
2,0.6000000000000001,0.826086956521739,0.3317089910775566,0.5999999999999996,0.32741934887413227,0.46059637912673046,0.5625,0.38461538461538464,0.020202020202020193,0.2767857142857143,0.7985702938840347,0.56,0.5,0.0,0.6666666666666667,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
3,0.4000000000000001,0.0869565217391306,0.6826355525051475,0.40000000000000036,0.6055537133848016,0.5159744408945688,0.5,0.46153846153846156,0.2121212121212121,0.026785714285714246,0.002859412231930314,0.21,0.25,0.19999999999999973,0.6666666666666667,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
4,0.8,0.9130434782608694,0.6479066575154426,0.7999999999999989,0.5161622748357145,0.373269435569755,0.3125,0.15384615384615385,0.030303030303030304,0.3035714285714286,0.005718824463860628,0.15,0.25,0.19999999999999973,0.6666666666666667,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
5,0.6000000000000001,0.17391304347826098,0.5733013040494166,0.5999999999999996,0.5169437935212838,0.7720979765708198,0.5,0.6153846153846154,0.2222222222222222,0.05357142857142855,0.7985702938840347,0.34,0.5,0.0,0.6666666666666667,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
6,0.8,0.6956521739130435,0.28551818805765267,0.7999999999999989,0.5646990228551071,0.2587859424920127,0.5,0.46153846153846156,0.38383838383838387,0.7499999999999999,0.9985702938840348,0.64,0.5,0.3999999999999999,0.6666666666666667,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
7,0.6000000000000001,0.826086956521739,0.059917638984214136,0.5999999999999996,0.4614732243562639,0.6815761448349307,0.5625,0.6153846153846154,0.9797979797979799,0.9464285714285715,0.004289118347895471,0.54,0.25,0.19999999999999973,0.6666666666666667,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
8,0.6000000000000001,0.6086956521739129,0.20542210020590254,0.5999999999999996,0.6717991324402982,0.7667731629392969,0.4375,0.38461538461538464,0.1717171717171717,0.5,0.7985702938840347,0.97,0.5,0.0,0.6666666666666667,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
9,0.6000000000000001,0.17391304347826098,0.1910089224433768,0.5999999999999996,0.3112404328676681,0.26091586794462196,0.5,0.6923076923076923,0.4747474747474748,0.9464285714285715,0.9971405877680697,0.77,0.5,0.3999999999999999,0.6666666666666667,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
10,0.4000000000000001,0.0869565217391306,0.8803019903912147,0.40000000000000036,0.7457709854408244,0.5665601703940362,0.5,0.5384615384615385,0.2121212121212121,0.026785714285714246,0.9957108816521045,0.03,0.0,1.0,0.33333333333333326,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
11,0.4000000000000001,0.7391304347826086,0.25367192862045296,0.40000000000000036,0.3513136047117934,0.5106496272630459,0.5,0.6923076923076923,0.9696969696969697,0.9196428571428573,0.002859412231930314,0.26,0.25,0.19999999999999973,0.6666666666666667,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
12,0.6000000000000001,0.826086956521739,0.9933424845573094,0.5999999999999996,0.4352787889172266,0.2768903088391905,0.375,0.46153846153846156,0.9797979797979799,0.9464285714285715,0.7985702938840347,0.85,0.5,0.0,0.6666666666666667,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
13,0.8,0.6956521739130435,0.640356897735072,0.7999999999999989,0.35283226562760006,0.43982960596379117,0.375,0.6153846153846154,0.18181818181818182,0.5267857142857143,0.9985702938840348,0.81,0.5,0.3999999999999999,0.6666666666666667,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
14,0.6000000000000001,0.6086956521739129,0.5410432395332875,0.5999999999999996,0.5215663409517023,0.559105431309904,0.4375,0.15384615384615385,0.3737373737373738,0.7232142857142859,0.004289118347895471,0.9,0.25,0.19999999999999973,0.6666666666666667,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
